REGION_CODE,REGION_NAME,DISTRICT_OR_CITY_CODE,DISTRICT_OR_CITY_NAME
03,DHAKA [D],21,GOPALGANJ
03,DHAKA [D],22,JAMALPUR
03,DHAKA [D],23,KISHOREGONJ
03,DHAKA [D],24,MADARIPUR
03,DHAKA [D],25,MANIKGANJ
03,DHAKA [D],26,MUNSHIGANJ
03,DHAKA [D],27,MYMENSINGH
03,DHAKA [D],28,NARAYANGANJ
03,DHAKA [D],29,NARSINGDI
03,DHAKA [D],30,NETRAKONA
03,DHAKA [D],31,RAJBARI
03,DHAKA [D],32,SHARIATPUR
03,DHAKA [D],33,SHERPUR
03,DHAKA [D],34,TANGAIL
04,KHULNA [D],35,BAGERHAT
05,KHULNA [D],36,CHUADANGA
06,KHULNA [D],37,JESSORE
07,KHULNA [D],38,JHENAIDAH
08,KHULNA [D],39,KHULNA
09,KHULNA [D],40,KUSHTIA
10,KHULNA [D],41,MAGURA
11,KHULNA [D],42,MEHERPUR
12,KHULNA [D],43,NARAIL
13,KHULNA [D],44,SATKHIRA
05,RAJSHAHI [D],45,BOGRA
05,RAJSHAHI [D],46,CHAPAINABABGANJ
05,RAJSHAHI [D],47,JOYPURHAT
05,RAJSHAHI [D],48,PABNA
05,RAJSHAHI [D],49,NAOGAON
05,RAJSHAHI [D],50,NATORE
05,RAJSHAHI [D],51,RAJSHAHI
05,RAJSHAHI [D],52,SIRAJGANJ
06,RANGPUR [D],53,DINAJPUR
06,RANGPUR [D],54,GAIBANDHA
06,RANGPUR [D],55,KURIGRAM
06,RANGPUR [D],56,LALMONIRHAT
06,RANGPUR [D],57,NILPHAMARI
06,RANGPUR [D],58,PANCHAGARH
06,RANGPUR [D],59,RANGPUR
06,RANGPUR [D],60,THAKURGAON
07,SYLHET [D],61,HABIGANJ
07,SYLHET [D],62,MAULVIBAZAR
07,SYLHET [D],63,SUNAMGANJ
07,SYLHET [D],64,SYLHET
01,BARISAL [D],1,BARGUNA
01,BARISAL [D],2,BARISAL
01,BARISAL [D],3,BHOLA
01,BARISAL [D],6,PIROJPUR
01,BARISAL [D],4,JHALOKATI
01,BARISAL [D],5,PATUAKHALI
02,CHATTOGRAM [D],7,BANDARBAN
02,CHATTOGRAM [D],8,BRAHMANBARIA
02,CHATTOGRAM [D],9,CHANDPUR
02,CHATTOGRAM [D],10,CHITTAGONG
02,CHATTOGRAM [D],11,COMILLA
02,CHATTOGRAM [D],12,COX'S BAZAR
02,CHATTOGRAM [D],13,FENI
02,CHATTOGRAM [D],14,KHAGRACHHARI
02,CHATTOGRAM [D],15,LAKSHMIPUR
02,CHATTOGRAM [D],16,NOAKHALI
02,CHATTOGRAM [D],17,RANGAMATI
03,DHAKA [D],18,DHAKA
03,DHAKA [D],19,FARIDPUR
03,DHAKA [D],20,GAZIPUR
15,LAKSHMIPUR,,
26,MUNSHIGANJ,,
4,JHALOKATHI,,
5,PATUAKHALI,,
33,SHERPUR,,
48,PABNA,,
50,NATORE,,
19,FARIDPUR,,
20,GAZIPUR,,
38,JINAIDAHA,,
43,NARAIL,,
11,CUMILLA,,
22,JAMALPUR,,
64,SYLHET,,
1,BARGUNA,,
32,SHARIATPUR,,
46,CHAPAINAWABGANJ,,
53,DINAJPUR,,
2,BARISHAL,,
28,NARAYANGANJ,,
30,NETRAKONA,,
8,BRAHMANBARIA,,
16,NOAKHALI,,
36,CHUADANGA,,
42,MEHERPUR,,
58,PANCHAGARH,,
60,THAKURGAON,,
61,HOBIGANJ,,
14,KHAGRACHARI,,
52,SIRAJGANJ,,
23,KISHOREGANJ,,
34,TANGAIL,,
37,JASHORE,,
40,KUSTIA,,
51,RAJSHAHI,,
7,BANDARBAN,,
17,RANGAMATI,,
25,MANIKGANJ,,
29,NARSHINGDI,,
10,CHATTOGRAM,,
21,GOPALGANJ,,
47,JOYPURHAT,,
63,SUNAMGANJ,,
44,SATKHIRA,,
49,NAOGAON,,
55,KURIGRAM,,
59,RANGPUR,,
3,BHOLA,,
31,RAJBARI,,
57,NILPHAMARI,,
12,COX'S BAZAR,,
13,FENI,,
18,DHAKA,,
45,BOGURA,,
56,LALMONIRHAT,,
6,PIROJPUR,,
27,MYMENSINGH,,
39,KHULNA,,
41,MAGURA,,
54,GAIBANDHA,,
9,CHANDPUR,,
24,MADARIPUR,,
35,BAGERHAT,,
62,MOULVIBAZAR,,
